,REF,NOX,ATP
b3447,9.948369985,9.5931288947,9.8398005803
b0693,5.6002277187,8.4781238497,7.4680086733
b4392,11.75151774,11.71041853,11.82668671
b0002,13.8476750867,14.04923429,13.90248647
b2874,8.0697865723,9.1679838983,8.49316634
b2724,2.4803507983,2.637074807,2.8873454733
b4260,11.0807677867,11.0854291167,10.99009641
b3114,6.187059422,7.1452387627,6.986581924
b2169,10.78036391,10.20940944,9.8991417007
b3224,3.6688145947,4.4557159773,5.4458471697
b3063,8.5879432817,9.823277994,9.7715672443
b2168,10.7112775933,10.2725955267,9.9496118907
b4152,4.690223784,4.9372106083,4.8264055447
b3575,8.273266183,10.4926738913,9.9973826433
b0572,8.6689376177,9.5122256483,8.9375419477
b4301,8.5797277893,9.756748761,9.2108520783
b0008,12.96915,13.0258947033,12.8453205633
b0494,11.8731329233,12.0136212733,12.3694469767
b2261,10.9402605633,11.07219909,11.2845818567
b2676,6.1665276447,7.658726877,6.705579352
b3182,7.3985193727,7.6761228973,7.9920686037
b4177,11.5978649133,11.3304716567,11.3616176833
b1263,12.0177673067,12.1384627267,11.9849897967
b0431,12.9791222733,13.26714487,13.2894821333
b3860,11.9899727733,11.7421087,11.62070761
b3620,11.9971901133,11.92942983,12.0868068933
b3544,13.6032317167,13.7011301333,13.56166007
b0825,8.1340162407,8.8261197573,8.4115443607
b3409,9.3510406087,9.6730630467,9.5899546703
b0452,10.4925348567,10.22419999,10.63153417
b0078,10.1601431643,9.9760469347,10.0979027573
b2288,11.9725089533,12.14761622,11.5506712467
b2997,8.5575885553,9.448718161,9.30086976
b0514,5.410212169,5.4690651747,5.80475958
b2751,12.4510019167,12.64015479,12.5380746867
b3222,9.4883312113,10.232500313,9.9137610657
b2482,5.7751878653,8.3145923613,7.6212006347
b3431,11.2662699633,11.2698103733,11.6019481233
b2320,10.9539966633,10.8116967833,11.01312043
b3546,8.194835357,8.2809480717,8.2644165533
b1186,9.1500177033,9.179252337,9.038204461
b0902,11.08616007,10.64533443,10.630736365
b3806,11.91022206,11.8759578233,12.0361638433
b0484,8.9447153463,9.037342251,9.513475223
b2036,11.90303811,11.0874504927,10.449326454
b0809,11.4617761567,11.5711219667,11.6097955567
b0832,10.3075088633,10.3383500733,10.2871672167
b1126,11.1500855967,11.09242761,10.77247572
b0428,11.4771065467,11.5341720867,11.7505491067
b1693,8.7123935623,8.2377097233,8.606448273
b0086,10.69571935,10.4224318933,10.205547723
b2097,11.3310711733,10.2123848473,11.2138025633
b0336,11.11827657,11.1865838133,10.7673299633
b4268,8.1423797653,8.9467454657,8.9193898647
b1912,8.396359353,8.1305532893,7.9707303613
b3734,13.2649510367,13.66028937,15.0065565933
b3479,2.687051469,2.7448405823,3.233122919
b1901,8.7600014547,9.4822997187,9.0656708443
b2687,12.1351820667,11.3097942667,11.7512202933
b2530,12.3960250333,12.2210176567,12.30461945
b0639,10.75794703,10.6671882533,10.79078383
b2378,10.84827016,10.7575986833,10.3916840243
b0485,9.755593476,8.6505561797,9.9746054773
b0586,4.6800962723,6.204951324,6.2585292797
b1677,15.2430760867,14.3276670567,14.0877186367
b3927,10.4688727333,10.5818734633,10.3808253867
b1281,10.0445759367,9.638810629,9.5837816967
b0755,14.2927198633,13.8111590367,14.01969884
b3924,9.924230959,9.4734741253,9.372809975
b1262,12.4873461667,12.62410649,12.0765146667
b0612,3.9980053393,5.7049503273,5.7804051373
b1858,8.7648332057,8.3054830033,8.251710229
b2762,9.4237830043,8.6259392337,8.4586015473
b4291,9.2713027997,10.1573205487,10.0702461977
b2615,4.2322235247,7.1868878093,4.575212107
b3747,9.7868546387,9.9501687583,9.8519881523
b0090,10.232304746,9.8098371263,9.805011491
b0862,11.7703624767,11.85844612,11.7364088767
b3737,13.49390176,13.58304312,13.0995855533
b2541,5.6311482263,6.8894836667,6.9320304533
b2975,8.277716415,9.0384353103,8.441704503
b1189,9.4805218993,9.2605590853,9.6834594323
b0945,8.0593453987,7.2772286813,7.2036730427
b3451,7.486668792,7.934730556,7.9382629257
b4238,8.778488443,9.093015005,8.916694956
b0087,10.9103714367,10.9180791433,10.8115275133
b4055,10.3857661063,11.0806211067,10.6104541343
b0032,12.8629087133,13.0302604633,12.5023437467
b2478,12.3287919333,12.1607406633,12.05358226
b2901,10.4134347933,10.4906659267,10.7929440333
b2867,6.2443079833,7.7749351017,7.3954268403
b2574,10.0998278857,10.2732673433,10.3046668593
b2947,11.0900946,11.1874271967,11.3441697233
b4132,5.647981752,7.7658446377,6.8365893047
b1467,6.9855555523,7.207537835,7.285573011
b4053,10.84287044,11.0964013867,11.0838250633
b2051,6.3272384243,8.144845222,7.6752123947
b3824,9.508104004,10.15275752,10.1152647777
b0341,7.239486678,9.1853653557,8.6291718193
b4035,11.8754952,11.6839416667,11.51417635
b1896,10.4762546127,9.045227538,10.0506593287
b2487,7.6736572563,8.9628856913,8.5339471373
b2661,9.153193386,9.1189128413,9.2412483373
b0774,8.7880410483,8.8079047287,8.8096825053
b3452,9.676037233,10.0372317757,10.1309328907
b0521,7.3229364433,8.7740822997,8.3272927803
b1587,6.1996110027,7.8141848467,6.7540040023
b1744,7.8926532617,8.618326644,8.3977507807
b3502,8.929446352,10.3886454153,9.675191566
b2199,4.4016756007,4.753982548,4.7261807497
b2282,11.3646416767,11.7416257733,11.6853905767
b3579,6.2121512427,7.9129969503,7.1198665917
b2599,11.3094026067,11.09783362,11.0379679833
